viglius59,0,1,0,0,0,0,0,0,0,0,0,0
JTurandot,0,0,0,0,1,0,0,1,0,0,1,0
cucky1962,0,0,1,0,0,0,0,0,0,0,1,0
jpsantinato,0,0,0,0,1,0,0,0,0,0,1,0
miuszz,0,0,0,0,0,0,0,0,0,0,0,0
SimoneMali71,0,0,0,0,1,1,1,1,0,0,1,0
marfeluca,0,0,0,1,0,0,0,0,0,0,0,0
zeneize22,0,0,0,1,0,0,0,1,0,1,0,0
SarahConnor_18,0,0,0,0,1,0,0,0,0,0,0,0
giusepp69152402,0,0,0,0,1,0,0,1,0,0,1,0
Mou55020835,0,0,1,1,1,0,0,1,0,0,1,0
angelinascanu,0,0,0,0,0,0,0,0,0,0,0,0
SGigliotti22,0,1,0,0,0,0,0,1,0,1,0,0
GaialovesShawn,0,0,0,0,0,1,0,0,0,0,0,0
belsheari,0,0,0,1,1,0,1,1,0,1,0,0
Kat_von_P,0,0,0,0,0,0,1,1,0,0,1,0
tetiba1,0,0,0,0,0,0,0,0,0,0,0,0
lele_85_,0,0,0,0,0,0,0,0,0,0,0,0
ziomuro,0,0,0,0,1,0,0,0,0,0,0,0
A_A_ileen,0,0,0,0,0,0,0,0,0,0,0,0
emigrat_italian,1,0,1,1,1,0,1,1,1,1,0,0
BartoloCascino,0,0,0,0,0,0,1,1,0,0,0,0
Matteo18860303,0,0,0,0,0,1,0,1,0,1,0,0
kaloskruciatos,0,1,1,0,1,0,0,1,0,1,1,0
Russina8,0,1,1,1,1,0,0,1,1,1,1,0
Milan_A_Vita,0,0,0,0,1,1,1,0,0,0,1,1
igiornididomani,0,0,0,0,0,0,0,0,0,0,0,0
buttalachiave,1,0,1,0,0,0,1,0,0,0,0,0
ricrrooll,0,0,0,0,0,0,0,0,0,0,0,0
Lalla96627895,0,1,0,0,1,1,1,1,0,1,1,0
JeegRobot2,0,0,0,0,0,0,0,0,0,0,0,0
voicesnumb,0,0,0,0,0,0,0,0,0,0,0,0
PALMALAZZARINI,0,1,0,0,1,1,0,0,0,0,0,0
JacopoVeneziani,0,0,0,0,0,0,0,0,0,0,0,0
Filomen30847137,0,0,0,0,0,0,0,0,0,0,0,0
carrarofabio69,0,0,0,0,0,0,0,0,0,0,0,0
carspagn,1,0,0,0,1,0,0,1,0,0,1,0
thinkoflou,0,0,0,0,1,0,0,0,0,0,0,0
Wolf46661569,0,0,0,1,0,0,1,1,0,1,1,0
BloodyMary878,0,0,0,0,0,0,0,0,0,0,0,0
domenicoditell1,0,0,0,0,0,0,0,0,0,0,0,0
FabiolaFlorio,0,0,0,0,0,0,0,0,0,0,0,0
PaoloDeb3,0,0,0,1,1,0,0,1,0,0,1,0
brubruchen,0,0,0,0,0,0,0,0,0,0,0,0
vietvinc,0,0,0,0,1,1,0,0,0,1,0,1
nenenico78,0,0,0,0,0,0,0,1,0,0,0,0
unwaveringaze,0,0,0,0,0,0,0,0,0,0,0,0
adrianobusolin,0,0,0,0,0,0,0,1,0,1,0,0
Stocca64,0,0,0,1,0,0,0,1,0,1,0,1
StefaniSer,0,0,0,0,1,1,0,0,0,0,0,0
fanema64,0,0,0,0,1,0,0,0,0,0,1,0
LaconicaMente,0,1,0,0,0,0,0,0,0,0,0,0
davide_gabriele,0,0,0,0,0,0,0,0,0,0,0,0
paulthefkr,0,0,0,0,1,0,0,1,0,0,0,1
ClaudioDiPa01,0,0,0,0,1,0,0,0,0,0,0,0
cittadino00,0,0,0,0,0,0,0,0,0,0,0,0
Angeloan55555,0,0,0,0,0,0,1,1,0,1,0,0
KimIlByeon,0,0,0,0,0,0,0,0,0,0,0,0
MartinsShaia,0,0,0,0,0,0,0,0,0,0,0,0
larryaremyhouse,0,0,0,0,0,0,0,0,0,0,0,0
francescocipe,0,0,0,0,0,0,1,1,0,0,1,0
L_Ottimista0,0,1,0,0,0,1,0,1,0,0,1,1
duxfightdemon,0,1,0,0,0,0,0,0,0,1,1,0
marcipaladino,1,0,0,1,0,0,1,1,0,1,0,0
melomiki1,0,0,0,0,0,0,0,0,0,0,0,0
GiovannaRebelli,0,0,0,0,0,0,1,0,0,0,1,0
pippo16004099,0,0,0,0,1,0,0,1,0,0,1,1
ClaudioStellat3,0,0,0,0,1,0,0,0,0,1,1,1
Fussi1973,0,0,0,0,0,0,0,0,0,0,0,1
Berto79832,0,0,0,0,0,1,0,0,0,0,0,0
il_portinaio,1,0,0,0,1,0,1,1,0,0,1,0
tano2763,0,0,0,0,0,0,1,1,0,1,0,0
siamosolonoi6,0,0,0,0,0,0,0,1,0,0,1,0
SYuliaSalazar,0,0,0,0,0,1,0,0,0,0,0,0
MoneysunANTONIO,0,0,0,0,0,0,0,0,0,0,0,0
lupo43010418,1,0,0,0,1,0,1,1,0,1,0,0
simonepietroro1,0,0,0,0,0,0,1,1,0,0,0,0
NietzscheAdler,0,0,0,0,0,0,1,1,0,1,1,1
IvanRuggy,0,0,0,0,0,0,0,0,0,0,0,0
Salvato14737982,0,0,0,0,0,0,0,0,0,0,0,0
gaffugaffurini,0,0,0,0,0,0,0,0,0,0,0,0
comis_william,0,0,1,0,0,0,0,1,1,1,0,0
valentino347801,0,1,0,0,1,1,1,1,0,1,1,1
lovelikewaar,0,0,0,0,1,0,0,0,0,0,0,0
giopap25,0,0,0,0,0,0,0,1,0,1,0,0
EliProe,0,0,0,0,0,0,0,0,0,0,0,0
anna29723176,0,0,0,0,0,1,0,0,0,0,1,1
amaricord,0,0,0,0,0,0,0,0,0,0,0,0
elagades,1,0,0,0,1,0,1,1,0,1,1,0
UnicoStefano,0,0,0,0,0,1,0,1,0,1,0,0
alexmazzu1,0,1,0,0,1,1,0,1,0,1,0,0
4everAnnina,0,0,0,0,0,0,1,0,0,0,1,0
giglio_veeto,0,0,0,0,0,0,0,0,0,0,0,0
FFildi,0,0,0,0,0,0,0,0,0,0,0,0
Enigmisti_cool,0,1,0,0,1,0,0,1,0,0,1,0
ManuelM80154103,0,1,0,0,1,1,0,1,0,0,0,1
WABrioschi,0,1,0,0,0,0,0,1,0,0,0,0
lugiord73,0,0,0,0,0,0,0,0,0,0,0,0
